"claim","review_url","claimer","text","headline","keywords","claim_date"
"http://data.gesis.org/claimskg/creative_work/c4b41b22-619c-5380-9311-b5a6f5a1b02a","http://www.politifact.com/rhode-island/statements/2010/jul/15/helen-glover/helen-glover-says-phoenix-kidnap-capital-western-h/","Helen Glover","Phoenix is the kidnapping capital 'of the Western Hemisphere.'","Helen Glover says Phoenix is kidnapping capital of Western Hemisphere","Crime",2010-07-09
"http://data.gesis.org/claimskg/creative_work/04f30364-9283-56fd-9bce-067779b321e1","http://www.politifact.com/truth-o-meter/statements/2010/aug/06/lindsey-graham/illegal-immigrants-anchor-babies-birthright/","Lindsey Graham","'People come here to have babies. They come here to drop a child. It's called 'drop and leave.'","Fact-checking the claims about 'anchor babies' and whether illegal immigrants 'drop and leave'","Legal Issues",2010-07-28
"http://data.gesis.org/claimskg/creative_work/80c44c6f-a8a5-51e4-b445-950802a89405","http://www.politifact.com/truth-o-meter/statements/2016/sep/18/tim-kaine/tim-kaine-says-millennials-agree-clinton-not-trump/","Tim Kaine","Says Hillary Clinton and millennials have the same positions on climate change, abortion rights, immigration reform, gay rights and college affordability. 'Donald Trump doesn't.'","Tim Kaine says millennials agree with Clinton, not Trump, on big issues","Climate Change,Gays and Lesbians,Abortion",2016-09-18
"http://data.gesis.org/claimskg/creative_work/17213330-4524-59c9-b08e-1b1dfa5e9907","http://www.politifact.com/punditfact/statements/2017/jun/21/ann-coulter/ann-coulter-says-trump-granted-amnesty-nearly-1000/","Ann Coulter","The Trump administration has granted amnesty to 'nearly 100,000 'Dreamers' '","Ann Coulter says Trump granted amnesty to nearly 100,000 'Dreamers.' Is that true?","Homeland Security",2017-06-08
"http://data.gesis.org/claimskg/creative_work/d29b87dc-a965-5172-b6ca-c5ebd24f659a","http://www.politifact.com/florida/statements/2011/oct/21/marco-rubio/sen-marco-rubio-said-his-parents-came-america-foll/","Marco Rubio","Says his parents 'came to America following Fidel Castro's takeover' of Cuba.","Sen. Marco Rubio said his parents 'came to America following Fidel Castro's takeover' of Cuba","Candidate Biography",2011-10-21
"http://data.gesis.org/claimskg/creative_work/77518d9a-daee-5de9-bb0b-d1cfb81f2b46","http://www.politifact.com/wisconsin/statements/2018/jul/13/leah-vukmir/gop-us-senate-hopeful-leah-vukmirs-pants-fire-clai/","Leah Vukmir","Says Mark Pocan’s proposal to eliminate the U.S. Immigration and Customs Enforcement (ICE) would 'eliminate border enforcement.'","GOP U.S. Senate hopeful Leah Vukmir's Pants on Fire claim about Mark Pocan proposal to abolish ICE","Crime,Regulation,Legal Issues",2018-07-05
"http://data.gesis.org/claimskg/creative_work/04def124-cf32-58f7-960c-1e85d03ea59f","http://www.politifact.com/truth-o-meter/statements/2010/apr/20/bill-clinton/clinton-says-uae-only-middle-east-country-to-pass-/","Bill Clinton","'Dubai is the only country with huge amounts of imported workers that's actually passed legislation to give these immigrant workers a better deal in the Middle East.'","Clinton says UAE only Middle East country to pass laws to address plight of immigrant workers","This Week - ABC News,Israel,Human Rights",2010-04-18
"http://data.gesis.org/claimskg/creative_work/23a0c48b-3910-5f71-8147-140ec64e3881","http://factscan.ca/maxime-bernier-global-compact/","Maxime Bernier","Maxime Bernier: 'The Global Compact for Migration commits Canada to developing all kinds of programs to deal with migration' and 'ensure they have jobs.' - FactsCanada","Maxime Bernier: """"The Global Compact for Migration commits Canada to developing all kinds of programs to deal with migration"""" and """"ensure they have jobs."""" - FactsCanada","Maxime Bernier,Ind",2018-11-02
"http://data.gesis.org/claimskg/creative_work/185236a9-8a6b-5ef9-bf3d-1b88de7adaec","http://www.politifact.com/florida/statements/2016/aug/12/carlos-beruff/fbi-admitted-it-cannot-properly-vet-middle-eastern/","Carlos Beruff","'The director of the FBI said that we cannot properly vet people coming from the Middle East.'","FBI director admitted 'we cannot properly vet' Middle Easterners, Carlos Beruff says","Terrorism",2016-08-06
"http://data.gesis.org/claimskg/creative_work/40cf7e60-f7fa-5674-abbc-1ae52982fc76","http://www.politifact.com/truth-o-meter/statements/2018/jan/31/donald-trump/donald-trump-leaves-out-facts-claim-about-visa-lot/","Donald Trump","The immigration visa lottery 'randomly hands out green cards without any regard for skill, merit, or the safety of American people.'","Donald Trump leaves out the facts in claim about visa lottery","Homeland Security",2018-01-30
"http://data.gesis.org/claimskg/creative_work/47e60fc9-0301-53a7-8b63-1ddb1d7bcd03","http://www.politifact.com/truth-o-meter/statements/2010/oct/08/susan-b-anthony-list/spanish-language-ad-claims-sen-barbara-boxer-voted/","Susan B. Anthony List","Sen. Barbara Boxer 'voted against immigration reform to permit (Hispanic immigrants) people to come here legally to work.'","Spanish language ad claims Sen. Barbara Boxer voted against immigration reform","Message Machine 2010",2010-09-30
"http://data.gesis.org/claimskg/creative_work/c2a7fa77-9681-5db4-b0ba-c79ed98593d8","http://www.politifact.com/truth-o-meter/statements/2016/oct/07/tim-kaine/tim-kaine-said-trump-ticket-wants-deport-16-millio/","Tim Kaine","Says 'Donald Trump proposes to deport 16 million people, 11 million who are here without documents, and both Donald Trump and Mike Pence want to get rid of birthright citizenship.'","Tim Kaine said Trump ticket wants to deport 16 million, end birthright citizenship","Children,Homeland Security,Human Rights",2016-10-04
"http://data.gesis.org/claimskg/creative_work/32338d7c-a359-5e9d-96c6-21527c2f3569","http://www.politifact.com/texas/statements/2015/sep/04/ted-cruz/ted-cruz-says-its-always-been-law-babies-born-us-c/","Ted Cruz","'It has been the law since the beginning of the country that the children of American citizens born ... abroad are American citizens by birth.'","Ted Cruz says it's always been that babies born to U.S. citizens abroad are citizens from birth","Legal Issues",2015-08-21
"http://data.gesis.org/claimskg/creative_work/8b84e66f-4dfd-5a4f-b9c5-2b26dc3dc085","http://www.politifact.com/west-virginia/statements/2018/oct/05/patrick-morrisey/fact-checking-patrick-morrisey-positions-held-joe-/","Patrick Morrisey","Sen. Joe Manchin 'stands with Hillary Clinton and D.C. Dems on gun control, higher taxes, amnesty, and Planned Parenthood.'","Fact-checking Patrick Morrisey on positions held by Joe Manchin","Guns,Abortion",2018-08-31
