"claim","review_url","claimer","text","headline","keywords","claim_date"
"http://data.gesis.org/claimskg/creative_work/d8c4be20-34b9-5e45-af84-ce3383c196fc","http://www.politifact.com/texas/statements/2016/may/23/celia-israel/celia-israel-says-student-education-spending-flat-/","Celia Israel","'When adjusted for inflation, (Texas) per-student spending has remained relatively flat over the past 16 years. Despite that trend, Texas schools in 2017 will receive $381 less per student than they did in 2003.'","Celia Israel says per-student education spending flat with 2017 expenditures $381 behind 2003","State Finances,State Budget",2016-05-13
"http://data.gesis.org/claimskg/creative_work/8cea5f48-d1ad-5e1d-ad0b-4cd2e469afc2","http://www.politifact.com/rhode-island/statements/2011/sep/08/daniel-mckee/mayors-claim-students-blackstone-valley-charter-sc/","Daniel McKee","'This year, the Blackstone Valley Mayoral Academy became the first public school in Rhode Island history to have 100 percent of its elementary-age students proficient in reading on state assessments.'","Mayors claim students in Blackstone Valley charter school were first in R.I. to achieve 100 percent proficiency in state reading tests","Children",2011-08-21
"http://data.gesis.org/claimskg/creative_work/2c6ba4b0-bfd7-50d3-a983-d1719542434c","http://www.politifact.com/new-jersey/statements/2012/apr/26/r2rmerge/student-group-r2rmerge-claims-george-norcross-said/","R2RMerge","Says George Norcross said the 'TAKEOVER OF RUTGER$ CAMDEN WILL COST NEW JER$EY BILLION$.'","R2RMerge claims George Norcross said the merger of Rowan and Rutgers-Camden would cost billions","State Finances",2012-04-15
"http://data.gesis.org/claimskg/creative_work/8426e929-eed1-5324-8b6a-eca6f8d754c4","http://www.politifact.com/wisconsin/statements/2013/aug/11/ron-johnson/average-college-degree-takes-six-years-us-sen-ron-/","Ron Johnson","On average, college students 'are taking six years to get a four-year degree.'","On average, a college degree takes six years, U.S. Sen. Ron Johnson says","Debt,Jobs",2013-07-17
"http://data.gesis.org/claimskg/creative_work/dea871b7-4179-5890-bfbb-3e3122b006f7","http://www.politifact.com/texas/statements/2018/feb/14/andrew-white/andrew-white-texas-schools-not-offer-sex-education/","Andrew White","'There’s a large number of schools in Texas that don’t even offer sex education.'","Andrew White says 'large' number of Texas schools don't offer sex education","Sexuality",2018-01-26
"http://data.gesis.org/claimskg/creative_work/64180a32-4d26-53f8-851e-36713a196697","http://www.politifact.com/virginia/statements/2012/jan/16/donald-mceachin/mceachin-says-mcdonnell-plan-uses-education-money-/","Donald McEachin","Gov. Bob McDonnell’s budget plan takes 'money out of our classrooms to pave roads.'","McEachin says McDonnell plan uses education money to fix roads","State Budget",2012-01-11
"http://data.gesis.org/claimskg/creative_work/097d0e0d-b3d7-5381-8490-53cbd71897d5","http://www.politifact.com/ohio/statements/2012/oct/12/national-education-association/nea-says-josh-mandel-voted-let-insurance-companies/","National Education Association","Says that Josh Mandel voted to let insurance companies deny coverage for autism","NEA says Josh Mandel voted to let insurance companies deny coverage for autism","Message Machine 2012",2012-09-27
"http://data.gesis.org/claimskg/creative_work/1eaff68e-1d27-5e35-8a14-3182d17f0e78","http://www.politifact.com/virginia/statements/2012/feb/09/george-barker/sen-george-barker-says-mcdonnells-budget-cuts-pre-/","George Barker","Says Gov. Bob McDonnell's budget would cut pre-kindergarten programs.","Sen. George Barker says McDonnell's budget cuts pre-kindergarten program","State Budget",2012-01-11
"http://data.gesis.org/claimskg/creative_work/6d48d293-3490-536e-b11c-a4ef281d0958","http://www.politifact.com/truth-o-meter/statements/2012/aug/23/barack-obama/obama-ad-says-class-sizes-dont-matter-romney/","Barack Obama","'Mitt Romney says class sizes don’t matter.'","Obama ad says class sizes 'don't matter' to Romney","Message Machine 2012",2012-08-22
"http://data.gesis.org/claimskg/creative_work/516e69ed-4d58-589b-8b9a-c3a6b1508931","http://www.politifact.com/texas/statements/2010/jan/29/democratic-national-committee/national-democrats-say-gov-perry-has-watched-over-/","Democratic National Committee","“Under (Rick Perry’s) watch as governor, over six million Texans have no health care coverage, including one million children, homeowners suffer from the highest insurance rates in the country, and college tuition has skyrocketed 136 percent.”","National Democrats say Gov. Perry has watched over many uninsured, highest home insurance rates and skyrocketing college tuition","Children",2010-01-20
